case_id,attack,defense,epoch,round,loss,hr5,hr10,hr20,er5,er10,er20
01_noattack_nodefense,NoAttack,NoDefense,0,0,,5.30223,10.07423,21.10286,0.0,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,1,3,0.69315,5.93849,9.86214,20.67869,0.1139,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,2,6,0.69313,4.66596,10.92259,21.20891,0.1139,0.1139,0.34169
01_noattack_nodefense,NoAttack,NoDefense,3,10,0.69311,5.30223,10.7105,20.99682,0.1139,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,4,14,0.69309,6.786849999999999,11.98303,22.26935,0.1139,0.1139,0.56948
01_noattack_nodefense,NoAttack,NoDefense,5,17,0.69307,8.90774,13.891829999999999,23.01166,0.1139,0.22779,0.56948
01_noattack_nodefense,NoAttack,NoDefense,6,21,0.69303,11.02863,17.70944,28.313890000000004,0.22779,0.22779,0.45558
01_noattack_nodefense,NoAttack,NoDefense,7,25,0.69296,15.16437,23.75398,34.9947,0.0,0.1139,0.45558
01_noattack_nodefense,NoAttack,NoDefense,8,28,0.69285,22.26935,30.64687,41.99364,0.0,0.0,0.34169
01_noattack_nodefense,NoAttack,NoDefense,9,32,0.69264,27.359489999999997,36.79745,49.20467,0.0,0.0,0.22779
01_noattack_nodefense,NoAttack,NoDefense,10,36,0.69223,31.07105,41.99364,56.09756,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,11,39,0.69144,31.07105,44.64475,60.445389999999996,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,12,43,0.68987,32.02545,46.6596,62.88441,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,13,47,0.68683,30.43478,46.55355,65.0053,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,14,50,0.68117,30.858960000000003,46.55355,65.21739,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,15,54,0.67143,30.540830000000003,45.81124,65.9597,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,16,58,0.65677,30.64687,45.91729,65.9597,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,17,61,0.63786,30.540830000000003,45.81124,66.17179,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,18,65,0.61672,30.222690000000004,45.174969999999995,66.27784,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,19,69,0.59513,31.07105,45.38706,65.42948,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,20,72,0.57415,30.75292,45.705200000000005,65.11135,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,21,76,0.55421,30.96501,45.705200000000005,65.42948,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,22,80,0.53568,31.38918,45.493109999999994,67.33828,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,23,84,0.51874,31.28314,45.59915,67.76246,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,24,87,0.50349,32.66172,46.02333,66.17179,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,25,91,0.48989,31.91941,46.34146,66.80806,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,26,95,0.47778,32.1315,46.02333,65.64157,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,27,98,0.46698,32.66172,46.97773,67.76246,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,28,102,0.45724,31.38918,47.50795,66.38387999999999,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,29,106,0.44813,33.61612,47.40191,67.65642,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,30,109,0.43957,32.76776,48.992580000000004,68.61081999999999,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,31,113,0.43144,34.25239,48.78049,67.55037,0.0,0.0,0.0
01_noattack_nodefense,NoAttack,NoDefense,32,117,0.42355,32.34358,50.15906999999999,69.35313,0.0,0.0,0.0
